Item_Number,Main_Category,Sub_Category,Product_Name,Main_Ingredient,Reviews_Count,Ratings_out_of_5,Sizes_Available,Sizes,Prices,Short_Description,Long_Description
ITEM 30100,Collection,Tea Tree Oil For Skin,Tea Tree Skin Clearing Facial Wash,Tea Tree,1324,4.76,3,"['2 FL OZ', '8.4 FL OZ', '13.5 FL OZ']","['$4.50', '$10.50', '$13.50']","Our Tea Tree Skin Clearing Facial Wash,  infused with Community Trade Tea Tree Oil, cleanses blemished skin. A refreshing lather removes impurities and excess oil, leaving skin feeling purified. Use daily for less shiny, mattified, visibly clearer results.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Deeply cleanses blemished skin ', 'Refreshing on skin ', 'Suitable for blemished skin']"
ITEM 96119,Makeup,Makeup Remover,Chamomile Gentle Eye Makeup Remover,Chamomile,423,4.29,2,"['8.4 FL OZ', '2 FL OZ']","['$13.50', '$4.50']","Melt away eye make-up around the eyes. Our Chamomile eye make-up remover gently cleanses, leaving the skin smooth and clean.","['Suitable for sensitive skin and contact lens wearers', 'Chamomile extract from Norfolk, England', 'Removes eye makeup', 'No added fragrance, color or alcohol', 'Leaves lashes and lids feeling softer and clean', ' Enriched with community trade  Chamomile from England']"
ITEM 96145,Skin Care,Face Cleansers,Chamomile Sumptuous Cleansing Butter,Chamomile,271,4.82,1,['2.7 Ounce'],['$12.00'],"Cleanse and nourish your skin with our rich Chamomile Sumptuous Cleansing Butter. A luxurious way to remove every last trace of makeup, while purifying, cleansing and refreshing your skin, leaving it soft to the touch.","['Cleansing Butter', ' Suitable for sensitive skin and contact lens wearers', ' Clean and silky-soft feel', 'Removes all types of makeup', ' Enriched with community trade  Chamomile from England']"
ITEM 30106,Collection,Tea Tree Oil For Skin,Tea Tree Skin Clearing Mattifying Toner,Tea Tree,606,4.64,3,"['2 FL OZ', '8.4 FL OZ', '13.5 FL OZ']","['$4.50', '$10.50', '$13.50']","Our Tea Tree Skin Clearing Mattifying Toner helps skin looks visibly clearer 
and tone  in one step. Enriched with Community Trade Tea Tree Oil, with shake-to-activate mattifying powders, this toner leaves skin feeling clean, refreshed and visibly clearer. Use after cleansing to remove any residual traces of make-up and impurities, which can clog the pores. ","['Refreshing, purifying toner', ' 100% vegan', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Removes residual make-up and impurities', 'Suitable for oily skin', 'Shake-to-activate mattifying powders reduce shine', 'Skin appears visibly clearer', 'Pores appear tighter', ' Combine with  Tea Tree Oil Pore Minimizer  to visibly reduce the appearance of pores Learn how to get clearer looking skin!', ' Enriched with community trade ', ' Tea Tree Oilfrom the foothills of Mount Kenya.']"
ITEM 94351,Collection,Tea Tree Oil For Skin,Tea Tree Squeaky-Clean Exfoliating Face Scrub,Tea Tree,137,4.67,1,['3.3 FL OZ'],['$12.00'],"Our Tea Tree Squeaky-Clean Scrub is a gentle daily facial exfoliator for blemished skin. Enriched with Community Trade Tea Tree Oil, the scrub gently buffs the skin’s surface to remove impurities and dead skin cells. Skin is left feeling smoother, appearing clearer and shine-free.  ","['100% vegetarian', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Leaves skin looking clearer, with pores appearing unclogged', 'Suitable for blemished skin']"
ITEM 94697,Skin Care,Face Cleansers,Drops of Youth™ Youth Liquid Peel,Edelweiss Stem Cells,318,4.69,1,['4.9 FL OZ'],['$18.75'],"The Drops of Youth™ Youth Liquid Peel exfoliates and gently peels off impurities from your skin, lifting dead skin cells and residuals. Infused with a blend of three plant stem cells, this revolutionary gel-to-peel leaves skin clean and purified from the day’s pollutants. Continued use will leave a fresh, smoother and more luminous youthful-looking skin.
","['100% vegetarian', ' With three plant stem cells:  edelweiss  from the Italian Alps,  sea holly and  criste marine from the Brittany Coast', ' Instantly feels like dead skin cells are lifted (88% agree*)', ' Peels off impurities and pollutants (88% agree*)', ' Skin feels cleansed from day’s pollution (86% agree*)', ' Dermatologically tested', ' *when tested on 109 women']"
ITEM 96941,Skin Care,Face Masks,Tea Tree 3-in-1 Wash Scrub Mask,Tea Tree,169,4.81,1,['4.2 FL OZ'],['$16.50'],"Our Tea Tree 3-in-1 Wash.Scrub.Mask gives you three products in one to help battle blemishes and excess oil. When used as a wash, the foaming product removes impurities and excess oil; as a scrub, the exfoliants unclog pores to leave skin feeling smoother. When applied as a mask, the drying clay deeply cleanses and mattifies and helps maintain clearer looking skin.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Soothes and calms skin while absorbing excess oil ', 'Clay mask for blemished skin']"
ITEM 94703,Skin Care,Face Cleansers,Vitamin C Glow Revealing Liquid Peel,Camu Camu,173,4.53,1,['4.9 FL OZ'],['$17.25'],The Vitamin C Glow Revealing Liquid Peel specifically targets pollutants that are left sitting on the skin at the end of the day.,"['This transforming gel-to-peel texture peels away dull, tired city skin for a happy healthy glow', 'The PH of the gel helps to release surface cells', 'Contains our most potent Camu Camu Berry. 60 times more Vitamin C concentration than an orange!', ' Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
ITEM 96083,Skin Care,Face Cleansers,Vitamin E Cream Cleanser,Shea,176,4.58,1,['8.4 FL OZ'],['$12.75'],"Our Vitamin E Cream Cleanser is a light and creamy cleanser that gently lifts dirt, makeup and impurities to leave skin feeling soft, supple and smooth. This cleanser contains wheatgerm oil to hydrate & protect from moisture loss, making it especially effective for dry and dull skin types.","['Perfect for all skin types, especially dry & dull skin', 'Contains antioxidants to protect skin from free radicals', 'Helps improve smoothness of skin', 'Pairs perfectly with our  Vitamin E Nourishing Night Cream ', 'Enriched with Community Trade Shea Butter from Ghana']"
ITEM 26958,Collection,Tea Tree Oil For Skin,Tea Tree Skin Clearing Foaming Cleanser,Tea Tree,250,4.66,1,['5 FL OZ'],['$11.25'],"Our Tea Tree Skin Clearing Foaming Cleanser is an instantly foaming daily
 facial wash, formulated to be gentle on blemished skin. Enriched with Community Trade Tea Tree Oil, it cleanses without over drying, leaving oily skin feeling fresh and matte.
","['100% vegan', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Mild, gentle and refreshing on blemished skin', 'Suitable for oily, blemished skin ']"
ITEM 48512,Skin Care,Moisturizers,Vitamin E Aqua Boost Essence Lotion,Aloe Vera,43,4.65,1,['5.4 FL OZ'],['$16.50'],"The Body Shop's Vitamin E Aqua Boost Essence Lotion is the first essential skincare step after cleansing and toning your face. This lightweight, jellified formula instantly feels non-greasy and comfortable on the skin, while providing 48 hours of moisturization. It contains wheatgrass oil with antioxidant properties that protect against free radicals all day long. Use this essence lotion to instantly plump your skin with quenching moisture for softer, more supple results.","['Skin feels instantly replenished with moisture', 'Skin feels softer, smoother and more supple', 'Penetrates quickly with a non-sticky feel', 'Antioxidant properties protect against free radicals', 'Powered with Bio fermented Hyaluronic Acid', 'Pairs perfectly with our Vitamin E Moisture Cream', 'Enriched with Vitamin E and Wheatgerm Oil from Pomacle, France']"
ITEM 94347,Skin Care,Face Cleansers,Vitamin C Daily Glow Cleansing Polish,Camu Camu,204,4.7,1,['4.2 FL OZ'],['$14.25'],Remove dull skin cells and reveal radiance with Vitamin C Daily Glow Cleansing Polish. This Vitamin C face wash gently exfoliates and is enriched with jojoba particles to effectively clean skin leaving it smooth and revitalized.,"['Best for dull skin and those in need of a daily facial cleansing wash', 'Contains camu camu berry with 20x more Vitamin C than an orange', 'For a concentrated skin treatment after washing, pair with Drops of Youth™ Youth Concentrate', 'Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
ITEM 96151,Skin Care,Face Cleansers,Chamomile Silky Cleansing Makeup Remover Oil,Chamomile,117,4.52,1,['6.7 FL OZ'],['$15.75'],"Chamomile Silky Cleansing Oil is an all-in-one refreshing oil cleanser will quickly remove all your makeup in one simple step. Your skin will be left feeling beautifully clean and soft, after every use of this nourishing oil formula.","['Suitable for sensitive skin and contact lens wearers', 'Chamomile extract from Norfolk, England.', 'Removes all makeup including waterproof', 'Clean, fresh skin', ' Enriched with community trade  Chamomile from England']"
ITEM 94341,Skin Care,Face Cleansers,Vitamin E Gentle Facial Wash,Shea,82,4.74,1,['4.2 FL OZ'],['$11.25'],"A gentle facial wash that lathers on the skin to leave it feeling clean, soft and refreshed.","['Face Wash', "" Wheat germ oil, one of nature's richest resouces of Vitamin E, moisturises, nourishes and helps to condition the skin."", 'Vitamin E helps to condition and protect of skin', 'Cleans the skin without drying it out', 'Helps to remove excess oil, light makeup and impurities']"
ITEM 90541,Skin Care,View All Eyes & Lips,Oils of Life™ Intensely Revitalizing Cleansing Oil-In Gel,Black Cumin Seed Oil,13,4.84,1,['3.3 FL OZ'],['$15.00'],"Gently cleanse your skin with the nourishing Oils of Life™ Intensely Revitalizing Cleansing Oil-In-Gel, infused with a blend of 3 precious seed oils. Discover the unique sensorial texture that slowly transitions from a rich, gel texture that effortlessly glides over skin, into a light, milk lotion once in contact with water. This rich gel formula contains over 30% of pure oils, helping to gently cleanse your skin by removing and dissolving impurities while providing extra comfort in the process. After rinse-off your skin feels smoother, appears more radiant, and is moisturized up to 72 hours.","['Formulated with black cumin oil from Egypt, rosehip oil from Chile and camelia oil from China', ' Enriched with  Community trade organic olive oil from Italy ', '  Skin appears smoother on the surface (95% agree) ', '   Skin appears revitalized (88% agree)', ' Skin feels nourished (93% agree)', ' Skin is moisturized up to 72h ', ' Dermatologically tested ', 'Suitable for sensitive skin']"
ITEM 94365,Skin Care,Face Cleansers,Vitamin C Glow Boosting Microdermabrasion Exfoliator,Camu Camu,332,4.75,1,['3.3 FL OZ'],['$17.25'],"Improve skin texture and tone with the Vitamin C Glow Boosting Microdermabrasion Facial Exfoliator. Containing micro-sized garnet exfoliating particles to give skin a thorough and intense weekly exfoliation. It helps to renew skin texture and tone. Smooth dry, flaky skin away for a brighter, refined and refreshed complexion!","['Best for tired, dull skin in need of a radiance boosting exfoliating treatment', 'Ultra-fine exfoliating garnet particules stimulate skin renewal and leave skin incredibly soft and smooth', 'Contains Camu Camu Berry with 20x more Vitamin C than an orange', 'For an extra boost of youthful glow, pair with Vitamin C Glow Boosting Moisturizer ', 'Enriched with Community Trade Shea Butter from Ghana', 'Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
ITEM 86849,Skin Care,Toners,Aloe Calming Toner,Aloe Vera,150,4.63,1,['8.4 FL OZ'],['$12.00'],"Gently tone, prime and refresh your skin with our soothing toner. Aloe effectively removes residual impurities, to refresh and clarify sensitive skin.","['Formulated for sensitive skin ', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
ITEM 54880,Skin Care,Moisturizers,Roots of Strength™ Firming Shaping Essence Lotion,Soya,9,5,1,['5.4 FL OZ'],['$18.00'],"Infused with root extracts, this refreshing and lightweight daily essence lotion combines the lightweight freshness of water with the comfort of a moisturizing gel. Your skin is instantly replenished with moisture and comfort. Your skin’s texture looks refined and firmer as if reshaped.  Use after cleansing to activate your skin before using a serum.","['100% vegetarian', ' Firming and shaping lotion', 'Lightweight hydration', 'Enriched with 3 root extracts: Ginger from Madagascar, Ginseng from China and Ruscus from Europe and Community Trade  Soya Oil  from Brazil', 'Skin feels instantly replenished with moisture and comfort.*', 'Dermatologically tested. Suitable for sensitive skin', 'Formulated without mineral oil, paraffin and petrolatum.*Self-assessment on 104 women']"
ITEM 26969,Skin Care,Face Cleansers,Aloe Calming Foaming Wash,Aloe Vera,137,4.45,1,['5 FL OZ'],['$12.75'],"Gently cleanse your skin with our refreshing Aloe face wash. Your skin will be left feeling clean, fresh and calmed. Our foaming wash provides daily cleansing for sensitive skin.","['Foaming Face Wash', ' Formulated for sensitive skin', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
ITEM 96936,Skin Care,Toners,Drops Of Youth™ Youth Essence Lotion,Edelweiss Stem Cells,62,4.37,1,['5.4 FL OZ'],['$18.00'],"Infused with a  blend of three plant stem cells, this unique gel-to-water lotion instantly replenishes skin with moisture. An essential first step after cleansing, skin feels smoother, softer and prepped for the next steps of your skincare routine.","['Smooths, plumps, and leaves skin more luminous ', ' Fresh gel-to-water  formula leaves skin feeling replenished with moisture', 'Pores are minimized and look refined', 'Enriched with Edelweiss   from the Italian alps,  Criste Marine  and  Sea Holly  from France', ' Pair with Drops of Youth™ Youth Cream.']"
ITEM 97260,Makeup,Makeup Remover,Chamomile Fresh Micellar Cleansing Water,Chamomile,10,4.5,1,['8.4 FL OZ'],['$15.00'],"In one quick, effortless step, gently and efficiently remove make-up while cleansing  skin with our refreshing , 100% vegetarian formula. Enriched with Community Trade chamomile oil from Norfolk, it removes make-up and impurities without rubbing or rinsing and leaves skin feeling cleansed, soft and soothed.
","['100% vegetarian', ' One-step make-up remover and cleanser ', ' Suitable for sensitive skin ', ' Enriched with Community Trade Chamomile Oil']"
ITEM 96164,Skin Care,Toners,Oils Of Life™ Intensely Revitalizing Bi-Phase Essence Lotion,Black Cumin Seed Oil,49,4.63,1,['5.4 FL OZ'],['$18.00'],"This unique bi-phase [oil + water] formula is the essential first step after cleansing. Infused with three precious seed oils from around the world, the bi-phase formula combines the freshness of water with the nourishing feel of oil, to leave skin feeling softened and instantly replenished with moisture.","['Use after cleansing', ' Cold-pressed seed oils to preserve potent properties and ensure the utmost affinity to skin.', ' Lightweight refreshing texture, soft-touch finish.', ' Enriched with   Black Cumin Seed Oil from Egypt,  Camellia Seed Oil from China, and   Rosehip Oil from Chile', 'Radiance is instantly revived and skin appears smoother*', '* Based on a commissioned study of 102 women  ']"
ITEM 26970,Skin Care,Face Cleansers,Drops of Youth™ Youth Gentle Foamwash,Edelweiss Stem Cells,45,4.84,1,['5 FL OZ'],['$13.50'],"Enriched with plant stem cells, our instantly foaming face wash upon rinse-off leaves skin fresh and replenished. The youth-enhancing formula thoroughly cleanses the skin without drying, leaving your skin feeling smoother, softer and renewed.  ","['100% vegetarian', ' Instantly foaming, non-drying daily face wash', 'Enriched with 3 plant stem cells:  Edelweiss   from the Italian alps,  Criste Marine  and  Sea Holly  from the Brittany Coast and Community Trade organic  Babassu Oil  from Brazil ', '96% agree skin feels fresher after the very first use*', 'Dermatologically tested', 'Suitable for sensitive skin.*Self-assessment on 115 women']"
ITEM 86859,Skin Care,Toners,Chinese Ginseng & Rice Clarifying Milky Toner,Sesame Oil,28,4.82,1,['8.4 FL OZ'],['$12.00'],"Enriched with Chinese rice and ginseng extract and Community Trade sesame seed oil from Nicaragua, our 100% vegan formula leaves skin  looking visibly smoother, brighter and revitalized.","[' For brighter-looking skin', 'Infused with Chinese rice and ginseng extract and Community Trade sesame seed oil from Nicaragua', '100% vegan', 'Formulated without alcohol', '82% of women agree that their skin looked instantly brighter (based on trial results from 107 women)']"
ITEM 86857,Makeup,Makeup Remover,Chamomile Waterproof Eye and Lip Makeup Remover,Chamomile,128,4.6,1,['5 FL OZ'],['$13.50'],"Remove all traces of makeup quickly, gently and effectively with our Chamomile Waterproof Eye and Lip Makeup Remover. Soothing and fragrance free, this is the perfect solution for sensitive skin.","['Suitable for sensitive skin and contact lens wearers', 'Bi-phase eye and lip makeup remover', 'Removes waterproof mascara and lipstick', 'No added fragrance, color or alcohol', ' Enriched with community trade  Chamomile from England']"
ITEM 86848,Skin Care,Face Cleansers,Aloe Calming Cream Cleanser,Aloe Vera,152,4.54,1,['8.4 FL OZ'],['$13.50'],"This comforting rich cream cleanser moisturizes and gently cleanses sensitive skin. Melt away impurities and reveal skin that feels clean, refreshed and calm.","['Cream Cleanser', ' Formulated for sensitive skin ', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
ITEM 97253,Collection,Tea Tree Oil For Skin,Tea Tree Oil,Tea Tree,718,4.69,2,"['0.67 FL OZ', '0.33 FL OZ']","['$13.50', '$7.50']","Battle blemishes with our iconic Tea Tree Oil. We sustainably steam-distil our tea tree leaves within 12 hours of harvest, so we can bottle our purest, most potent oil. With its powerful, purifying properties, our Tea Tree Oil is great for quick application to help reduce blemishes.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Our 0.67 FL OZ bottle is packed with the oil of 15,000 tea tree leaves ', 'Suitable for blemished skin']"
ITEM 96977,Skin Care,Moisturizers,Vitamin C Glow-protect Lotion SPF 30,Camu Camu,258,4.5,1,['1.69 FL OZ'],['$17.25'],"Enhance the natural radiance of your skin while helping to protect your complexion from the sun with our Vitamin C Glow-Protect Lotion SPF30. Ideal for daily use to hydrate and help to protect, leaving the skin looking glowing.","['For dull, tired, grumpy skin', 'SPF30 with UVA and UVB protection', 'Hydrates and helps protects skin', 'Gives skin a brighter, more radiant appearance', 'Softens and smoothes', 'Learn how to get glowing skin! ']"
ITEM 77810,Skin Care,Serums,Drops Of Youth™ Youth Concentrate,Edelweiss Stem Cells,766,4.68,2,"['1 FL OZ', '1.7 FL OZ']","['$28.50', '$40.50']","Target the first signs of ageing with our youth-enhancing concentrate. This refreshing gel-like serum is infused with three plant stem cells, and leaves skin feeling instantly smoother and replenished with moisture. Skin unveils a healthy luminousity and a youthful bounce. ","['Quick-absorbing, non-sticky serum', ' Instantly moisturizing', ' Silicone-free & Paraben-free', ' 99% of ingredients are of natural origin ', ' Enriched with  Edelweiss Plant Cells from Italy,  Sea Holly Plant Cells &   Criste Marine Plant Cells from France', ' Pores look tightened, Skin feels bouncier, Lines appear smoothed*', ' Skin looks more luminous**', ' * Results from Youth Concentrate self-assessment on 112 women ', ' ** Results from Youth Concentrate self-assessment on 154 women ', ' Follow our  step by step Drops Of Youth ™ Routine ', ' This product is not available for shipment to Alaska and Hawaii ']"
ITEM 94164,Skin Care,Overnight Treatments,Vitamin E Nourishing Night Cream,Cocoa,311,4.6,1,['1.67 Ounce'],['$16.50'],"The Vitamin E Nourishing Night Cream contains rich wheat germ oil to replenish and revitalize skin while you snooze. A rich, nourishing cream that helps replenish antioxidant and moisture levels overnight, when the skin is at its most receptive. It leaves skin feeling soft and smooth. ","['Intensively hydrates', 'Works when skin is at its most receptive', ' Pairs well with others products from the  Vitamin E Collection']"
ITEM 94636,Collection,Tea Tree Oil For Skin,Tea Tree Mattifying Lotion,Tea Tree,414,4.52,1,['1.69 FL OZ'],['$11.25'],"Our Tea Tree Mattifying Lotion is a lightweight daytime moisturizer suitable for blemished skin. Infused with our organic pure tea tree oil, this easily absorbed lotion provides hydration, without clogging the pores or leaving skin feeling greasy. Use daily for matte, shine-free results.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Mattifying and non-greasy face moisturizer ', 'Discover the benefits of tea tree for clearer skin']"
ITEM 83195,Collection,Tea Tree Oil For Skin,Tea Tree Anti-Imperfection Night Mask,Tea Tree,245,4.66,1,['2.6 Ounce'],['$16.50'],"Our Tea Tree Anti-Imperfection Night Mask is specifically formulated to care for blemishes  and imperfections* while you sleep. Infused with salicylic acid and Community Trade Tea Tree Oil, this leave-on mask helps reduce the size and number of imperfections*. Wake up to clearer looking skin that feels refreshed, purified and soothed.  *Tone, texture and oiliness","['100% vegan', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Wake up to clearer-looking skin!  ', 'Alcohol-free, no pillow-staining formula.', 'Suitable for blemished skin', 'TOP TIP: Keep the mask in the fridge for an ultra-refreshing feeling']"
ITEM 94144,Skin Care,Moisturizers,Vitamin E Intense Moisturizer,Olive,227,4.61,1,['1.7 Ounce'],['$16.50'],"Everybody's favorite and our bestseller, the Vitamin E Intense Moisturizer, is an easily absorbed daily moisturizing cream that has the lightness of a lotion with the moisturizing benefits of a cream. It helps protect the skin, leaving it feeling soft, smooth and healthy-looking. ","['Targets dry skin on face ', 'Long-lasting hydration', ' Leaves skin feeling silky-smooth', ' Enriched withd wheatgerm oil', "" Helps to restore skin's natural moisture barrier"", ' Discover the benefits of Vitamin E for all skin types']"
ITEM 93493,Skin Care,Moisturizers,Vitamin E Gel Moisture Cream,Aloe Vera,54,4.46,1,['1.69 Ounce'],['$15.00'],"Help protect your skin from external aggressors and lock in moisture for 48-hours of hydration with our new Vitamin E Gel Moisture Cream. This oil-free, lightweight and fast absorbing daily moisturizer is formulated with natural origin hyaluronic acid derived from bio-fermented wheat-germ from Pomacle, France and raspberry extract, containing Vitamin E, to refresh and re-plump your skin with moisture. 
","['Oil-free daily facial moisturizer ', ' Enriched with Community Trade Organic Aloe Vera']"
ITEM 94349,Collection,Drops Of Youth,Drops Of Youth™ Youth Cream,Edelweiss Stem Cells,175,4.69,1,['1.7 FL OZ'],['$25.50'],"This velvety, air-whipped youth enhancing cream, infused with a blend of three plant stem cells,  addresses the first signs of ageing. With a refreshing, lightweight texture, skin is left feeling smoother, more supple and refined, with a youthful-looking bounce. Use daily as part of your Drops of Youth™ skincare routine.
","['100% vegetarian', ' Enriched with Community Trade organic babassu oil from Brazil', ' With three plant stem cells: edelweiss from the Italian Alps, criste marine and sea holly from the Brittany Coast', ' Use as part of your Drops of Youth™ skincare routine for visibly more youthful skin', ' Dermatologically tested', ' Non-comedogenic                            ']"
ITEM 93344,Skin Care,NA,Vitamin E Moisture Cream,Beeswax,476,4.58,2,"['3.4 Ounce', '1.7 FL OZ']","['$24.00', '$15.00']","Our lightweight, easily absorbed facial moisturizer protects and locks in moisture for all-day hydration, to leave skin feeling fresh, silky-soft and looking more radiant. Now formulated with vitamin E, plumping hyaluronic acid and wheatgerm oil, its moisturizing effects can help ward off dryness. Use after cleansing and toning, as part of your personalized skincare program.","['Hydrates skin leaving it smooth and fresh ', 'Light and easily absorbed ', 'Use daily for softer, healthy-looking skin ', 'Use fingertips to apply to face and neck after cleansing and toning ', 'Suitable for all skin types, particularly dry skin']"
ITEM 95700,Collection,Tea Tree Oil For Skin,Tea Tree Night Lotion,Tea Tree,402,4.59,1,['1 FL OZ'],['$15.00'],"Our Tea Tree Night Lotion has a gel-lotion texture that provides lightweight hydration for blemished skin, whilst controlling excess oil and sebum. Enriched with Community Trade Tea Tree Oil, the lotion helps keep oily skin under control overnight, helping fade the appearance of blemishes while you sleep.","['100% vegetarian', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Helps hydrates oily skin while reducing excess oil ', 'Helps reduce the appearance of blemishes ', 'Suitable for blemished skin']"
ITEM 94171,Skin Care,Moisturizers,Aloe Soothing Day Cream,Aloe Vera,345,4.63,1,['1.7 Ounce'],['$15.00'],"The Aloe Soothing Day Cream is a gentle moisturizer that helps calm sensitive and dry skin. Formulated without fragrance, color, preservatives and alcohol, this is the perfect choice for sensitive skin.","['Formulated for sensitive skin', ' Enriched with community trade Aloe Vera from Mexico']"
ITEM 96010,Skin Care,Serums,Vitamin E Overnight Serum-in-oil,Sesame Oil,212,4.69,1,['0.9 FL OZ'],['$20.25'],"Wake up to beautiful skin with new Vitamin E Overnight Serum-In-Oil, a technical innovation combining the power of a serum and oil to indulge, replenish and recharge skin with moisture overnight.","['8h beauty sleep for your skin', 'Skin feels recharged, replenished and softer', 'Skin looks fresher, rested and more radiant', 'Our highest concentration of wheatgerm oil', 'Non-greasy, fast-absorbing formula', ' Enriched with community trade  Soya from Brazil ', ' To complete your daily routine, shop our  Vitamin E Collection', ' Enriched with community trade  Marula from Namibia']"
ITEM 96921,Skin Care,Moisturizers,Aloe Soothing Moisture Lotion SPF 15,Aloe Vera,17,4.05,1,['1.7 FL OZ'],['$15.00'],"Soothe your skin while helping to keep it protected from the sun with our lightweight SPF15 moisturizer. Skin feels softer, protected and moisturized.","['Moisturizing Lotion formulated for sensitive skin ', 'With SPF15', 'No added fragrance, color or alcohol', 'Enriched with community trade Aloe Vera from Mexico']"
ITEM 94715,Skin Care,Overnight Treatments,Drops of Youth™ Bouncy Sleeping Mask,Babassu,348,4.64,1,['3.1 Ounce'],['$24.00'],"This refreshing overnight face mask has been formulated to address the first signs of ageing. Enriched with edelweiss stem cells, the innovative bouncy, gel-cream texture molds itself like a second skin for instant hydration. Wake up to soft, youthful looking skin that feels plumper, replenished and renewed.","['100% vegan', 'For all skin types and first signs of aging', 'Overnight Face Mask', 'Smoothes and refreshes skin', ' Enriched with  Edelweiss Plant Cells from Italy and Community Trade organic babassu oil from Brazil', 'Follow our  step by step Drops Of Youth ™ Routine ', 'Smoothes and refreshes skin', ' Skin feels renewed', ' Dermatologically tested']"
ITEM 96284,Skin Care,Sensitive Skin,Aloe Multi-Use Soothing Gel,Aloe Vera,24,4.75,1,['6.76 FL OZ'],['$18.00'],"New refreshing, lightweight face and body gel moisturizer that hydrates and helps soothe dry, sensitive skin. Non-greasy and gentle on skin. Can be used as an overnight leave-on mask to restore comfort of skin. Enriched with 90% gel from Community Trade aloe vera from Campeche, Mexico. Formulated without alcohol, colorants, and fragrance.","['Face and Body cooling moisturizer', 'Hydrating, soothing and refreshing', 'Non-greasy, gentle on skin', 'Formulated for sensitive skin', 'Dermatologically tested', ' Enriched with community trade Aloe Vera from Mexico']"
ITEM 93655,Skin Care,Moisturizers,Oils Of Life™ Intensely Revitalizing Cream,Black Cumin Seed Oil,61,4.55,1,['1.69 Ounce'],['$25.50'],"This rich and silky daily cream contains a blend of three precious seed oils from around the world. It intensely revitalizes skin, replenishes moisture and revives radiance. The cream effortlessly melts into skin for a comfortable finish that feels light and non-greasy.","['Silky-soft daily nourishing cream infused with 3 precious seed oils from around the world to replenish and revitalise skin.', ' Cold-pressed seed oils to preserve potent properties and ensure the utmost affinity to skin.', ' Comfortable but light and non-greasy', ' Pairs perfectly with our Intensely Revitalizing Facial Oil  ', ' Enriched with   Black Cumin Seed Oil from Egypt,  Camellia Seed Oil from China,  Rosehip Oil from Chile and Community Trade organic olive oil from Italy ', 'Skin looks smoother and feels suppler', 'Suitable for all skin types, and skin lacking nourishment and radiance ', 'Self-assesment 167 women']"
ITEM 94538,Skin Care,Serums,Oils Of Life™ Intensely Revitalizing Facial Oil,Black Cumin Seed Oil,189,4.67,2,"['1.7 FL OZ', '1 FL OZ']","['$41.25', '$29.25']","This lightweight daily facial oil instantly replenishes moisture and revives skin’s radiance. It effortlessly melts into skin leaving a non-sticky, velvety-soft finish, with a quick-absorbing formula created using three precious seed oils from around the world.","['Potent daily facial oil infused with 3 precious seed oils from around the world to give new life to your skin ', ' Cold-pressed seed oils to preserve potent properties and ensure the utmost affinity to skin ', ' Made from 99% oils of natural origin ', ' Lightweight and quickly-absorbed, non-sticky finish ', ' Skin looks revitalized and feels more elastic and firmer* ', ' *User test: Facial oil on 158 women – after 4 weeks ', ' Enriched with   Black Cumin Seed Oil from Egypt,  Camellia Seed Oil from China,  Rosehip Oil from Chile and Community Trade organic olive oil']"
ITEM 92415,Collection,Shea,100% Natural Shea Butter,Shea,81,4.88,1,['5 FL OZ'],['$15.75'],"Our iconic Community Trade Shea Butter in its purest form has been carefully whipped to create a creamy, melting texture. It has been expertly handcrafted by Ghanaian women, who have used shea butter to  nourish dry skin and hair for generations. This moisturizing, multi-purpose butter can be used on the body, hair, face and lips, inspired by Ghanaian women’s traditional beauty rituals. 
","['100% Vegan and natural Shea Butter', ' Made from 192 Community Trade Shea nuts', ' Instantly relieves & soothes the feeling of dryness, itchiness and tightness of dry, sensitive skin. ', 'Skin feels nourished, softer, suppler, and smoother', ' Dry looks nourished and replenished.', ' Lips feel soothed ', 'Suitable for dry and sensitive skin, and dry hair', ' 100% recyclable outer-packaging        ']"
