Item_Number,Main_Category,Sub_Category,Product_Name,Main_Ingredient,Reviews_Count,Ratings_out_of_5,Sizes_Available,Sizes,Prices,Short_Description,Long_Description
ITEM 86683,Body,body butter,Vanilla Pumpkin Body Butter,Shea,68,4.63,1,['6.75 Ounces'],['$12.00'],"Fall into the spirit of autumn celebrations with our Vanilla Pumpkin Body Butter, in special edition seasonal packaging inspired by the traditions of Central and South America’s Dia de los Muertos. The indulgently rich formula provides 24hr moisture, infused with Madagascan vanilla and the aroma of roasted pumpkins.","['24hr moisture ', 'Special edition packaging inspired by Dia de los Muertos (Day of the Dead)  ', 'Scented with a cozy, autumnal pumpkin fragrance, vanilla from Madagascar, and hints of tonka bean, hazelnut and maple syrup ', 'With vanilla extract from Madagascar and Community Trade shea butter from Ghana']"
ITEM 96174,Body,Lotion and Cream,Mango Softening Whipped Lotion,NA,69,4.65,2,"['8.4 FL OZ', '2 FL OZ']","['$9.75', '$4.50']","Lightweight, yet incredibly hydrating, this tropical mango scented lotion is sure to whip up your moisturizing routine. Use daily for skin that feels smoother and silky-soft to the touch.","['Body lotion', 'Moisturizing', 'Absorbs easily', 'Mango seed oil from India', 'Light, whipped texture', 'Fruity, tropical scent']"
ITEM 94742,Body,Lotion and Cream,Strawberry Softening  Puree Body Lotion,NA,54,3.96,2,"['8.4 FL OZ', '2 FL OZ']","['$9.75', '$4.50']","Our softening gel-lotion will hydrate and nourish your skin. Full of cold-pressed strawberry seed oil, your skin will be wrapped in moisture with a sweet, fruity scent.","['Body lotion', 'Hydrates and nourishes skin', '24hr moisture', 'Fresh gel lotion', 'Quickly absorbed', 'Cold-pressed strawberry seed oil', 'Community Trade honey from Ethiopia']"
ITEM 96095,Body,Lotion and Cream,Wild Argan Oil Sublime Nourishing Whipped Lotion,Wild Argan,33,4.9,1,['8.4 FL OZ'],['$9.75'],"Full of Community Trade argan oil from Morocco, our Wild Argan Oil Sublime Nourishing Whipped Lotion leaves the skin feeling hydrated and nourished. Your skin will be wrapped in moisture and gently scented with a warm, luxurious fragrance.","['Body lotion', 'Sublime nourishment', 'Suitable very dry skin', 'Light, whipped texture', '48hr hydration', 'Community Trade argan oil from Morocco']"
ITEM 00701,Body,Lotion and Cream,Spa Of The World™ Hawaiian Kukui Cream,Shea,77,4.74,2,"['1.6 Ounce', '11.8 Ounce']","['$4.50', '$27.00']","Hawaiian women, exposed to the relentless sun for generations, have held the secret of kukui oil to nurture their skin. Bursting with luscious moisture, kukui oil restores skin's natural suppleness, leaving it nourished and glowing. Kukui seed oil is rich in essential fatty acids and vitamins, with high levels of linoleic acid, which in turn makes it effective in nurturing, smoothing, and moisturizing even the driest of skin. Use the Hawaiian Kukui Cream as part of our blissful ritual when your body is in need of luxury.","['Suitable for very dry skin', 'Cream absorbs quickly, helping to hold in moisture', 'With kukui oil from Hawaii', 'Complete your blissful ritual with our Polynesian Monoi Radiance Oil and Tahitian Orchid Massage Oil', 'Enriched with Community Trade Brazil Nut Oil, Cocoa Butter, Shea Butter, and Beeswax', 'Learn more about how to unwind with our 8 Relaxation Techniques', 'Enjoy the Blissful Ritual Spa Routine by using the Hawaiin Kukui Cream with  Brazilian Cupuaçu Exfoliating Scrub-in-Oil,  Tahitian Orchid Massage Oil  and Polynesian Monoi Radiance Oil', ' Enriched with community trade  Kukui Oil from Hawaii']"
ITEM 94192,Body,Lotion and Cream,Indian Night Jasmine Body Cream,NA,32,4.5,1,['6.6 Ounce'],['$12.00'],"Sophisticated and opulent, the Indian Night Jasmine Body Cream will scent your skin with rich, floral fragrance. Jasmine originates from India, where it has been used for centuries to produce some of the most valuable oils around the world. At night, jasmine exhales its headiest scent and we capture this aroma in our pure extract by hand-picking blossoms just before sunrise.","['Oriental Scent ', 'Leaves skin feeling softer and smoother ', 'Buttery texture ', 'Layer with the Indian Night Jasmine Fragrance Mist to build the fragrance ', 'Enriched with Community Trade Shea Butter from Ghana ', 'Enriched with community trade Babassu Oil from Brazil']"
ITEM 44952,Body,Lotion and Cream,Coconut Body Milk,Coconut,153,4.71,2,"['2 FL OZ', '8.4 FL OZ']","['$4.50', '$9.75']","Infused with the scent of fresh coconuts, the lightweight Coconut Body Milk brings a tropical touch to your skincare routine. Use daily for skin that feels nourished and irresistibly soft to the touch.","['Body Milk', 'Leaves skin feeling nourished', 'For very dry skin', 'Lightweight and easily absorbed', 'Fresh coconut scent', 'Convenient spray bottle', ' Enriched with community trade  Coconut Oil from Samoa']"
ITEM 19213,Body,body butter,Coconut Body Butter,Coconut,723,4.8,3,"['1.69 Ounce', '6.75 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']","Give your skin a dose of ultra-rich hydration when you apply this nourishing coconut body butter. With 48hr moisturizing properties, your skin will stay softer for longer.","['Body Moisturizer   ', 'Softens skin ', ' For dry / very dry skin  ', 'Fresh coconut scent  ', '48hr hydration  ', 'Easily absorbed  ', 'Enriched with Community Trade cold-pressed virgin coconut oil  from Samoa']"
ITEM 92126,Body,body butter,Olive Body Butter,Olive,272,4.81,3,"['1.69 Ounce', '6.7 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']","Give your skin a dose of ultra-rich hydration, when you apply our Mediterranean-inspired, nourishing Olive Body Butter. With 48hr moisturizing properties, your skin will stay softer for longer.","['Body moisturizer ', '48hr hydration ', 'For very dry skin ', 'Mediterranean, fresh, delicate scent ', 'Easily absorbed ', 'Enriched with community trade Cocoa from Ghana ', 'Enriched with community trade Olive Oil from Italy']"
ITEM 94176,Body,body butter,British Rose Body Butter,Rose Extract,182,4.7,2,"['1.72 Ounce', '6.7 Ounce']","['$4.50', '$12.00']","Our British Rose Instant Glow Mini Body Butter intensely hydrates for instant, long lasting moisture. With the light-reflecting power of an indulgent, fresh, non sticky texture, this rich moisturizer melts into your skin to provide an all day radiant glow. Discover the benefits of 24 hour hydration for normal to dry skin.","['Body Butter', 'For normal to dry skin', '24 hour moisture', 'Transforms on skin revealing an instant healthy looking glow', 'Enriched with the essence of hand-picked British roses', ""Our beautiful roses are grown on a farm in Herefordshire, where they're infused in fresh mountain water to create our pure rose essence"", 'Enriched with community trade Shea Butter from Ghana and Soya Oil from Brazil']"
